Series Code;A01B.P.Y;CM.MKT.TRAD.GD.ZS;IS.AIR.DPRT;IS.AIR.PSGR;IS.AIR.GOOD.MT.K1;MS.MIL.MPRT.KD;AG.LND.CROP.ZS;AG.LND.ARBL.HA.PC;AG.LND.ARBL.ZS;AG.LND.AGRI.K2;AG.LND.AGRI.ZS;AG.LND.CREL.HA;SP.DYN.CBRT.IN;SP.DYN.AMRT.FE;SP.DYN.AMRT.MA;SP.POP.DPND;SE.PRM.CMPT.ZS;SP.DYN.TFRT.IN
YR2003;2652;75,76268397;21282617;1665309283;124203,199;18932000000;1,100761171;0,212300826;10,52574637;47140891,54;37,06970284;658780168;20,85918206;143,5481185;207,8720699;57,98595403;84,15937042;2,6248957
YR2004;2513;83,48448492;23752616;1888695284;139032,94;21325000000;1,124634218;0,210305871;10,5463107;46771835,36;36,74264383;669746976;20,70303489;141,116913;205,022161;57,18832855;84,68721771;2,608629514
YR2005;2670;99,43057859;24215712;1969590799;141483,603;20898000000;1,147271417;0,207959621;10,55794693;46862188,37;36,81362588;679661225;20,5699017;139,0384329;202,9573027;56,48634986;85,47122955;2,588058048
YR2006;2706;117,9890558;24829383;2072413898;148937,604;24560000000;1,169305254;0,204908234;10,53655406;46914799,09;36,82694579;673481951;20,42182535;136,3319894;199,4869334;55,97666092;85,94008636;2,577170957
YR2007;2645;161,1660474;26016011;2209136496;158205,946;26607000000;1,195332709;0,202146305;10,52387541;46868683,9;36,78765955;686633980;20,34141219;133,8894731;196,5053135;55,53038194;86,90557861;2,567089029
YR2008;2960;139,886171;25498093;2208218737;158487,874;24105000000;1,207390731;0,199779777;10,52824567;46783694,02;36,72872186;703264965;20,2316185;131,0503701;193,8234315;55,1485603;88,45838928;2,554934486
YR2009;3000;116,6515113;26122523;2249728546;175509,3437;23806000000;1,225896015;0,197425903;10,53049465;46756685,29;36,70798829;690900518;20,03603343;128,0079468;190,4339676;54,81402264;89,15405273;2,534207585
YR2010;3410;111,9357371;29637929,54;2628261258;182025,6271;25718000000;1,249388375;0,195156592;10,53359571;46774506,6;36,72134385;686200354;19,80949947;124,9949162;187,6261269;54,51769464;88,92006683;2,516290288
YR2011;3902;104,7445633;30564978,1;2786953830;183037,2301;29971000000;1,250744834;0,196041003;10,60598359;47959422,12;36,93198458;696342918;19,62798231;122,1862688;184,8239014;54,36301808;88,5017395;2,498604082
YR2012;4483;81,99611639;30771384,59;2894054972;175051,3422;27956000000;1,265109231;0,194821505;10,66887986;47955059,53;36,93019909;708597049;19,51038359;119,118611;181,9110035;54,20926946;89,24446869;2,48889436
YR2013;5195;87,6331931;31464398,88;3048275073;175829,5578;27128000000;1,273870893;0,192689638;10,68044517;47877732,99;36,87101699;724518874;19,29790229;117,4500702;179,528625;54,08157783;89,30233002;2,472253007
YR2014;5839;100,1851107;32339781,98;3227291386;184831,1095;26983000000;1,27588672;0,190532739;10,6879313;47889155,74;36,8799345;724249847;19,21004091;115,976166;176,7353115;54,00296837;89,05226135;2,464680782
YR2015;7099;157,2681497;33362839;3466478485;187769,4163;28585000000;1,28587308;0,188663841;10,70672438;47681467,6;36,71498528;727377783;18,95740831;114,3414215;171,9747395;53,98136606;88,7156601;2,455270398
YR2016;9131;123,2423489;34687965;3705101897;194898,2751;31371000000;1,293708711;0,187009904;10,76475407;47691466,94;36,70122139;733367261;18,94158134;112,8137755;170,1372539;54,07327476;88,90484619;2,44464622
YR2017;11476;115,5663442;35703836,06;3973790463;212866,6472;31694000000;1,316979204;0,186122317;10,83125176;48088210,03;37,00841264;734598109;18,62065422;111,2316267;168,260944;54,19843493;89,16243744;2,427212258
YR2018;11227;95,76479572;36828232,25;4242447521;221165,7008;26967000000;1,320326591;0,183986047;10,82516976;47953427,48;36,90352074;728365199;18,15985765;114,1505245;168,0087774;54,34006209;89,407341;2,415040379
